日	sol,dia
月	luna,mes
木	árbol
山	montaña
川	rio
田	arrozal
人	hombre,persona
口	boca
車	coche
門	portón
火	fuego
水	agua
金	oro,dinero,metal
土	suelo,tierra
子	niño
女	mujer
学	estudiar
生	vivir,nacer
先	previamente,adelante
私	yo
一	uno
二	dos
三	tres
四	cuatro
五	cinco
六	seis
七	siete
八	ocho
九	nueve
十	diez
百	cien
千	mil
万	diez mil,todo
円	yen,circulo
年	año,edad
